Date,Address,Latitude,Longitude,Coordinates,Number of Mosquitoes
5/6/07,"1500 North Long Avenue, Chicago, IL 60651, USA",41.907645,-87.760886,"-87.760886,41.907645",3
5/6/07,"1500 West Granville Avenue, Chicago, IL 60660, USA",41.994469,-87.667736,"-87.667736,41.994469",1
5/6/07,"1500 West Webster Avenue, Chicago, IL 60614, USA",41.9216,-87.666455,"-87.666455,41.9216",4
5/6/07,"1700 West 95th Street, Chicago, IL 60643, USA",41.720848,-87.666014,"-87.666014,41.720848",2
5/6/07,"1800 West Farwell Avenue, Chicago, IL 60626, USA",42.006858,-87.675919,"-87.675919,42.006858",2
5/6/07,"2100 North Lawler Avenue, Chicago, IL 60639, USA",41.918705,-87.752329,"-87.752329,41.918705",1
5/6/07,"2100 North Stave Street, Chicago, IL 60647, USA",41.919343,-87.694259,"-87.694259,41.919343",2
5/6/07,"2200 North Cannon Drive, Chicago, IL 60614, USA",41.921965,-87.632085,"-87.632085,41.921965",3
5/6/07,"2200 West 113th Street, Chicago, IL 60643, USA",41.688324,-87.676709,"-87.676709,41.688324",4
5/6/07,"2200 West 89th Street, Chicago, IL 60643, USA",41.731922,-87.677512,"-87.677512,41.731922",3
5/6/07,"2500 South Millard Avenue, Chicago, IL 60623, USA",41.846075,-87.716277,"-87.716277,41.846075",1
5/6/07,"2500 West Grand Avenue, Chicago, IL 60654, USA",41.891118,-87.654491,"-87.654491,41.891118",1
5/6/07,"2800 North Francisco Avenue, Chicago, IL 60618, USA",41.932094,-87.700117,"-87.700117,41.932094",1
5/6/07,"3500 West 116th Street, Chicago, IL 60655, USA",41.682587,-87.707973,"-87.707973,41.682587",11
5/6/07,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",41.944869,-87.832763,"-87.832763,41.944869",1
5/6/07,"3700 North Kedvale Avenue, Chicago, IL 60641, USA",41.948167,-87.730698,"-87.730698,41.948167",3
5/6/07,"3800 North California Avenue, Chicago, IL 60618, USA",41.94983,-87.698457,"-87.698457,41.94983",1
5/6/07,"4000 North Austin Avenue, Chicago, IL 60634, USA",41.953067,-87.776792,"-87.776792,41.953067",4
5/6/07,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41.95469,-87.800991,"-87.800991,41.95469",9
5/6/07,"4200 North Richmond Street, Chicago, IL 60618, USA",41.958271,-87.702575,"-87.702575,41.958271",3
5/6/07,"4200 West 127th Street, Alsip, IL 60803, USA",41.662014,-87.724608,"-87.724608,41.662014",7
5/6/07,"4500 North Campbell Avenue, Chicago, IL 60625, USA",41.963976,-87.69181,"-87.69181,41.963976",1
5/6/07,"4900 West Balmoral Avenue, Chicago, IL 60630, USA",41.979243,-87.750938,"-87.750938,41.979243",1
5/6/07,"5000 South Central Avenue, Chicago, IL 60638, USA",41.801498,-87.763416,"-87.763416,41.801498",1
5/6/07,"5300 West Agatite Avenue, Chicago, IL 60630, USA",41.961743,-87.76007,"-87.76007,41.961743",3
5/6/07,"5800 North Western Avenue, Chicago, IL 60659, USA",41.986921,-87.689778,"-87.689778,41.986921",2
5/6/07,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",41.999129,-87.795585,"-87.795585,41.999129",11
5/6/07,"7000 West Armitage Avenue, Chicago, IL 60707, USA",41.916265,-87.800515,"-87.800515,41.916265",11
5/6/07,"7200 North Oketo Avenue, Chicago, IL 60631, USA",42.011601,-87.811506,"-87.811506,42.011601",1
5/6/07,"7900 West Foster Avenue, Chicago, IL 60656, USA",41.974089,-87.824812,"-87.824812,41.974089",3
5/6/07,"8900 South Carpenter Street, Chicago, IL 60620, USA",41.732984,-87.649642,"-87.649642,41.732984",1
5/6/07,"9100 West Higgins Avenue, Chicago, IL 60656, USA",41.981964,-87.812827,"-87.812827,41.981964",2
5/6/07,"9300 South Doctor Martin Luther King Junior Drive, Chicago, IL 60619, USA",41.725517,-87.614258,"-87.614258,41.725517",1
5/6/07,"Chicago, IL, USA",41.878114,-87.629798,"-87.629798,41.878114",3
5/6/07,"South Vincennes Avenue, Chicago, IL, USA",41.723195,-87.64997,"-87.64997,41.723195",1
5/6/07,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",41.868077,-87.666901,"-87.666901,41.868077",8
26/6/07,"1000 South California Avenue, Chicago, IL 60612, USA",41.869107,-87.696293,"-87.696293,41.869107",1
26/6/07,"1000 West 95th Street, Chicago, IL 60643, USA",41.721474,-87.648064,"-87.648064,41.721474",2
26/6/07,"1100 Roosevelt Road, Chicago, IL 60608, USA",41.867108,-87.654224,"-87.654224,41.867108",2
26/6/07,"1100 South California Avenue, Chicago, IL 60612, USA",41.868142,-87.696269,"-87.696269,41.868142",2
26/6/07,"1100 West Chicago Avenue, Chicago, IL 60642, USA",41.896282,-87.655232,"-87.655232,41.896282",1
26/6/07,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",41.906638,-87.701431,"-87.701431,41.906638",5
26/6/07,"1500 West Webster Avenue, Chicago, IL 60614, USA",41.9216,-87.666455,"-87.666455,41.9216",2
26/6/07,"1800 West Farwell Avenue, Chicago, IL 60626, USA",42.006858,-87.675919,"-87.675919,42.006858",2
26/6/07,"1800 West Leland Avenue, Chicago, IL 60640, USA",41.966987,-87.674677,"-87.674677,41.966987",1
26/6/07,"2100 North Stave Street, Chicago, IL 60647, USA",41.919343,-87.694259,"-87.694259,41.919343",1
26/6/07,"2100 South Hamlin Avenue, Chicago, IL 60623, USA",41.852652,-87.719887,"-87.719887,41.852652",6
26/6/07,"2200 West 113th Street, Chicago, IL 60643, USA",41.688324,-87.676709,"-87.676709,41.688324",4
26/6/07,"2200 West 89th Street, Chicago, IL 60643, USA",41.731922,-87.677512,"-87.677512,41.731922",5
26/6/07,"2500 South Throop Street, Chicago, IL 60608, USA",41.846283,-87.656913,"-87.656913,41.846283",1
26/6/07,"2500 West Grand Avenue, Chicago, IL 60654, USA",41.891118,-87.654491,"-87.654491,41.891118",7
26/6/07,"2700 South Western Avenue, Chicago, IL 60608, USA",41.843811,-87.686763,"-87.686763,41.843811",1
26/6/07,"2800 North Francisco Avenue, Chicago, IL 60618, USA",41.932094,-87.700117,"-87.700117,41.932094",1
26/6/07,"3000 West 18th Street, Chicago, IL 60608, USA",41.857402,-87.694991,"-87.694991,41.857402",1
26/6/07,"3500 West 116th Street, Chicago, IL 60655, USA",41.682587,-87.707973,"-87.707973,41.682587",5
26/6/07,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",41.944869,-87.832763,"-87.832763,41.944869",6
26/6/07,"3800 North California Avenue, Chicago, IL 60618, USA",41.94983,-87.698457,"-87.698457,41.94983",1
26/6/07,"4000 North Austin Avenue, Chicago, IL 60634, USA",41.953067,-87.776792,"-87.776792,41.953067",4
26/6/07,"4000 North Tripp Avenue, Chicago, IL 60641, USA",41.953705,-87.733974,"-87.733974,41.953705",1
26/6/07,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41.95469,-87.800991,"-87.800991,41.95469",6
26/6/07,"4200 North Richmond Street, Chicago, IL 60618, USA",41.958271,-87.702575,"-87.702575,41.958271",6
26/6/07,"4200 West 127th Street, Alsip, IL 60803, USA",41.662014,-87.724608,"-87.724608,41.662014",51
26/6/07,"4500 North Campbell Avenue, Chicago, IL 60625, USA",41.963976,-87.69181,"-87.69181,41.963976",1
26/6/07,"4600 Milwaukee Avenue, Chicago, IL 60630, USA",41.964242,-87.757639,"-87.757639,41.964242",2
26/6/07,"4900 West Balmoral Avenue, Chicago, IL 60630, USA",41.979243,-87.750938,"-87.750938,41.979243",1
26/6/07,"5300 West Agatite Avenue, Chicago, IL 60630, USA",41.961743,-87.76007,"-87.76007,41.961743",4
26/6/07,"5800 North Western Avenue, Chicago, IL 60659, USA",41.986921,-87.689778,"-87.689778,41.986921",10
26/6/07,"6000 North Avondale Avenue, Chicago, IL 60631, USA",41.990284,-87.797127,"-87.797127,41.990284",2
26/6/07,"6100 North Lemont Avenue, Chicago, IL 60646, USA",41.991429,-87.747113,"-87.747113,41.991429",2
26/6/07,"6200 North Mandell Avenue, Chicago, IL 60646, USA",41.994991,-87.769279,"-87.769279,41.994991",5
26/6/07,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",41.999129,-87.795585,"-87.795585,41.999129",2
26/6/07,"6800 West Belden Avenue, Chicago, IL 60707, USA",41.921177,-87.79518,"-87.79518,41.921177",1
26/6/07,"7000 North Moselle Avenue, Chicago, IL 60646, USA",42.008314,-87.777921,"-87.777921,42.008314",2
26/6/07,"7000 West Armitage Avenue, Chicago, IL 60707, USA",41.916265,-87.800515,"-87.800515,41.916265",9
26/6/07,"7200 North Oketo Avenue, Chicago, IL 60631, USA",42.011601,-87.811506,"-87.811506,42.011601",4
26/6/07,"7500 North Oakley Avenue, Chicago, IL 60645, USA",42.01743,-87.687769,"-87.687769,42.01743",4
26/6/07,"7900 West Foster Avenue, Chicago, IL 60656, USA",41.974089,-87.824812,"-87.824812,41.974089",1
26/6/07,"9600 South Hoyne Avenue, Chicago, IL 60643, USA",41.719059,-87.675088,"-87.675088,41.719059",8
26/6/07,"Chicago, IL, USA",41.878114,-87.629798,"-87.629798,41.878114",1
26/6/07,"North Streeter Drive, Chicago, IL 60611, USA",41.891126,-87.61156,"-87.61156,41.891126",2
26/6/07,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",41.868077,-87.666901,"-87.666901,41.868077",30
29/6/07,"1000 North Central Park Avenue, Chicago, IL 60651, USA",41.89923,-87.716788,"-87.716788,41.89923",2
29/6/07,"1000 West 95th Street, Chicago, IL 60643, USA",41.721474,-87.648064,"-87.648064,41.721474",2
29/6/07,"1100 North Artesian Avenue, Chicago, IL 60622, USA",41.903002,-87.688267,"-87.688267,41.903002",1
29/6/07,"1100 South Peoria Street, Chicago, IL 60608, USA",41.862292,-87.64886,"-87.64886,41.862292",1
29/6/07,"1200 West Greenleaf Avenue, Chicago, IL 60626, USA",42.010412,-87.66214,"-87.66214,42.010412",1
29/6/07,"1500 North Long Avenue, Chicago, IL 60651, USA",41.907645,-87.760886,"-87.760886,41.907645",1
29/6/07,"1800 West Farwell Avenue, Chicago, IL 60626, USA",42.006858,-87.675919,"-87.675919,42.006858",1
29/6/07,"2000 East 111th Street, Chicago, IL 60628, USA",41.692555,-87.598865,"-87.598865,41.692555",2
29/6/07,"2200 North Cannon Drive, Chicago, IL 60614, USA",41.921965,-87.632085,"-87.632085,41.921965",3
29/6/07,"2200 West 113th Street, Chicago, IL 60643, USA",41.688324,-87.676709,"-87.676709,41.688324",3
29/6/07,"2200 West 89th Street, Chicago, IL 60643, USA",41.731922,-87.677512,"-87.677512,41.731922",1
29/6/07,"2500 West Grand Avenue, Chicago, IL 60654, USA",41.891118,-87.654491,"-87.654491,41.891118",2
29/6/07,"3000 West 18th Street, Chicago, IL 60608, USA",41.857402,-87.694991,"-87.694991,41.857402",5
29/6/07,"3300 North Rutherford Avenue, Chicago, IL 60634, USA",41.94016,-87.794896,"-87.794896,41.94016",1
29/6/07,"3500 West 116th Street, Chicago, IL 60655, USA",41.682587,-87.707973,"-87.707973,41.682587",6
29/6/07,"3700 North Kedvale Avenue, Chicago, IL 60641, USA",41.948167,-87.730698,"-87.730698,41.948167",5
29/6/07,"4000 North Austin Avenue, Chicago, IL 60634, USA",41.953067,-87.776792,"-87.776792,41.953067",1
29/6/07,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41.95469,-87.800991,"-87.800991,41.95469",2
29/6/07,"4200 North Richmond Street, Chicago, IL 60618, USA",41.958271,-87.702575,"-87.702575,41.958271",2
29/6/07,"4200 West 127th Street, Alsip, IL 60803, USA",41.662014,-87.724608,"-87.724608,41.662014",3
29/6/07,"5000 South Central Avenue, Chicago, IL 60638, USA",41.801498,-87.763416,"-87.763416,41.801498",1
29/6/07,"5300 West Agatite Avenue, Chicago, IL 60630, USA",41.961743,-87.76007,"-87.76007,41.961743",1
29/6/07,"5800 North Western Avenue, Chicago, IL 60659, USA",41.986921,-87.689778,"-87.689778,41.986921",3
29/6/07,"6000 North Avondale Avenue, Chicago, IL 60631, USA",41.990284,-87.797127,"-87.797127,41.990284",1
29/6/07,"6100 North Lemont Avenue, Chicago, IL 60646, USA",41.991429,-87.747113,"-87.747113,41.991429",1
29/6/07,"6100 West Fullerton Avenue, Chicago, IL 60639, USA",41.923738,-87.785288,"-87.785288,41.923738",1
29/6/07,"6400 West Strong Street, Chicago, IL, USA",41.970248,-87.787992,"-87.787992,41.970248",1
29/6/07,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",41.999129,-87.795585,"-87.795585,41.999129",3
29/6/07,"7000 West Armitage Avenue, Chicago, IL 60707, USA",41.916265,-87.800515,"-87.800515,41.916265",6
29/6/07,"7200 North Oketo Avenue, Chicago, IL 60631, USA",42.011601,-87.811506,"-87.811506,42.011601",2
29/6/07,"7500 North Oakley Avenue, Chicago, IL 60645, USA",42.01743,-87.687769,"-87.687769,42.01743",4
29/6/07,"7900 West Foster Avenue, Chicago, IL 60656, USA",41.974089,-87.824812,"-87.824812,41.974089",3
29/6/07,"Chicago, IL, USA",41.878114,-87.629798,"-87.629798,41.878114",1
29/6/07,"South Vincennes Avenue, Chicago, IL, USA",41.723195,-87.64997,"-87.64997,41.723195",2
29/6/07,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",41.868077,-87.666901,"-87.666901,41.868077",10
2/7/07,"1000 North Central Park Avenue, Chicago, IL 60651, USA",41.89923,-87.716788,"-87.716788,41.89923",5
2/7/07,"1000 South California Avenue, Chicago, IL 60612, USA",41.869107,-87.696293,"-87.696293,41.869107",1
2/7/07,"1000 West 95th Street, Chicago, IL 60643, USA",41.721474,-87.648064,"-87.648064,41.721474",2
2/7/07,"1100 Roosevelt Road, Chicago, IL 60608, USA",41.867108,-87.654224,"-87.654224,41.867108",1
2/7/07,"1100 South California Avenue, Chicago, IL 60612, USA",41.868142,-87.696269,"-87.696269,41.868142",12
2/7/07,"1100 South State Street, Chicago, IL 60605, USA",41.869216,-87.627561,"-87.627561,41.869216",2
2/7/07,"1200 West Greenleaf Avenue, Chicago, IL 60626, USA",42.010412,-87.66214,"-87.66214,42.010412",1
2/7/07,"1500 West Granville Avenue, Chicago, IL 60660, USA",41.994469,-87.667736,"-87.667736,41.994469",2
2/7/07,"1500 West Webster Avenue, Chicago, IL 60614, USA",41.9216,-87.666455,"-87.666455,41.9216",4
2/7/07,"2100 North Lawler Avenue, Chicago, IL 60639, USA",41.918705,-87.752329,"-87.752329,41.918705",1
2/7/07,"2200 North Cannon Drive, Chicago, IL 60614, USA",41.921965,-87.632085,"-87.632085,41.921965",3
2/7/07,"2200 West 113th Street, Chicago, IL 60643, USA",41.688324,-87.676709,"-87.676709,41.688324",5
2/7/07,"2200 West 89th Street, Chicago, IL 60643, USA",41.731922,-87.677512,"-87.677512,41.731922",10
2/7/07,"2500 South Millard Avenue, Chicago, IL 60623, USA",41.846075,-87.716277,"-87.716277,41.846075",1
2/7/07,"2500 South Throop Street, Chicago, IL 60608, USA",41.846283,-87.656913,"-87.656913,41.846283",1
2/7/07,"2500 West Grand Avenue, Chicago, IL 60654, USA",41.891118,-87.654491,"-87.654491,41.891118",19
2/7/07,"3000 West 18th Street, Chicago, IL 60608, USA",41.857402,-87.694991,"-87.694991,41.857402",5
2/7/07,"3300 West 104th Street, Chicago, IL 60655, USA",41.704336,-87.703736,"-87.703736,41.704336",1
2/7/07,"3300 West Randolph Street, Chicago, IL 60612, USA",41.883284,-87.705085,"-87.705085,41.883284",3
2/7/07,"3500 West 116th Street, Chicago, IL 60655, USA",41.682587,-87.707973,"-87.707973,41.682587",32
2/7/07,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",41.944869,-87.832763,"-87.832763,41.944869",6
2/7/07,"3700 North Kedvale Avenue, Chicago, IL 60641, USA",41.948167,-87.730698,"-87.730698,41.948167",2
2/7/07,"3800 North California Avenue, Chicago, IL 60618, USA",41.94983,-87.698457,"-87.698457,41.94983",1
2/7/07,"4000 North Austin Avenue, Chicago, IL 60634, USA",41.953067,-87.776792,"-87.776792,41.953067",2
2/7/07,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41.95469,-87.800991,"-87.800991,41.95469",5
2/7/07,"4200 North Richmond Street, Chicago, IL 60618, USA",41.958271,-87.702575,"-87.702575,41.958271",1
2/7/07,"4200 West 127th Street, Alsip, IL 60803, USA",41.662014,-87.724608,"-87.724608,41.662014",30
2/7/07,"4600 Milwaukee Avenue, Chicago, IL 60630, USA",41.964242,-87.757639,"-87.757639,41.964242",1
2/7/07,"5800 North Western Avenue, Chicago, IL 60659, USA",41.986921,-87.689778,"-87.689778,41.986921",7
2/7/07,"6000 North Avondale Avenue, Chicago, IL 60631, USA",41.990284,-87.797127,"-87.797127,41.990284",1
2/7/07,"6000 West Montrose Avenue, Chicago, IL 60634, USA",41.960616,-87.777189,"-87.777189,41.960616",1
2/7/07,"6000 West Roscoe Street, Chicago, IL 60634, USA",41.942114,-87.776385,"-87.776385,41.942114",3
2/7/07,"6100 North Lemont Avenue, Chicago, IL 60646, USA",41.991429,-87.747113,"-87.747113,41.991429",1
2/7/07,"6100 West Fullerton Avenue, Chicago, IL 60639, USA",41.923738,-87.785288,"-87.785288,41.923738",7
2/7/07,"6200 North Mandell Avenue, Chicago, IL 60646, USA",41.994991,-87.769279,"-87.769279,41.994991",8
2/7/07,"6400 West Strong Street, Chicago, IL, USA",41.970248,-87.787992,"-87.787992,41.970248",6
2/7/07,"6800 West Belden Avenue, Chicago, IL 60707, USA",41.921177,-87.79518,"-87.79518,41.921177",3
2/7/07,"7000 North Moselle Avenue, Chicago, IL 60646, USA",42.008314,-87.777921,"-87.777921,42.008314",7
2/7/07,"7000 West Armitage Avenue, Chicago, IL 60707, USA",41.916265,-87.800515,"-87.800515,41.916265",7
2/7/07,"7200 North Oketo Avenue, Chicago, IL 60631, USA",42.011601,-87.811506,"-87.811506,42.011601",1
2/7/07,"7500 North Oakley Avenue, Chicago, IL 60645, USA",42.01743,-87.687769,"-87.687769,42.01743",1
2/7/07,"7900 West Foster Avenue, Chicago, IL 60656, USA",41.974089,-87.824812,"-87.824812,41.974089",3
2/7/07,"9100 West Higgins Avenue, Chicago, IL 60656, USA",41.981964,-87.812827,"-87.812827,41.981964",2
2/7/07,"9600 South Hoyne Avenue, Chicago, IL 60643, USA",41.719059,-87.675088,"-87.675088,41.719059",5
2/7/07,"Chicago, IL, USA",41.878114,-87.629798,"-87.629798,41.878114",1
2/7/07,"North Streeter Drive, Chicago, IL 60611, USA",41.891126,-87.61156,"-87.61156,41.891126",3
2/7/07,"South Vincennes Avenue, Chicago, IL, USA",41.723195,-87.64997,"-87.64997,41.723195",1
2/7/07,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",41.868077,-87.666901,"-87.666901,41.868077",13
11/7/07,"1000 East 67th Street, Chicago, IL 60637, USA",41.773215,-87.60088,"-87.60088,41.773215",5
11/7/07,"1000 North Central Park Avenue, Chicago, IL 60651, USA",41.89923,-87.716788,"-87.716788,41.89923",15
11/7/07,"1000 South California Avenue, Chicago, IL 60612, USA",41.869107,-87.696293,"-87.696293,41.869107",9
11/7/07,"1000 West 95th Street, Chicago, IL 60643, USA",41.721474,-87.648064,"-87.648064,41.721474",15
11/7/07,"1100 North Artesian Avenue, Chicago, IL 60622, USA",41.903002,-87.688267,"-87.688267,41.903002",17
11/7/07,"1100 Roosevelt Road, Chicago, IL 60608, USA",41.867108,-87.654224,"-87.654224,41.867108",4
11/7/07,"1100 South California Avenue, Chicago, IL 60612, USA",41.868142,-87.696269,"-87.696269,41.868142",3
11/7/07,"1100 South Peoria Street, Chicago, IL 60608, USA",41.862292,-87.64886,"-87.64886,41.862292",15
11/7/07,"1100 South State Street, Chicago, IL 60605, USA",41.869216,-87.627561,"-87.627561,41.869216",6
11/7/07,"1100 West Chicago Avenue, Chicago, IL 60642, USA",41.896282,-87.655232,"-87.655232,41.896282",3
11/7/07,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",41.906638,-87.701431,"-87.701431,41.906638",1
11/7/07,"1500 West Webster Avenue, Chicago, IL 60614, USA",41.9216,-87.666455,"-87.666455,41.9216",5
11/7/07,"1700 North Pulaski Road, Chicago, IL 60639, USA",41.911824,-87.726737,"-87.726737,41.911824",1
11/7/07,"1700 West 95th Street, Chicago, IL 60643, USA",41.720848,-87.666014,"-87.666014,41.720848",1
11/7/07,"1800 West Farwell Avenue, Chicago, IL 60626, USA",42.006858,-87.675919,"-87.675919,42.006858",1
11/7/07,"2000 East 111th Street, Chicago, IL 60628, USA",41.692555,-87.598865,"-87.598865,41.692555",6
11/7/07,"2200 North Cannon Drive, Chicago, IL 60614, USA",41.921965,-87.632085,"-87.632085,41.921965",2
11/7/07,"2200 West 113th Street, Chicago, IL 60643, USA",41.688324,-87.676709,"-87.676709,41.688324",174
11/7/07,"2200 West 51st Street, Chicago, IL 60609, USA",41.801179,-87.679447,"-87.679447,41.801179",4
11/7/07,"2200 West 69th Street, Chicago, IL 60636, USA",41.768388,-87.678649,"-87.678649,41.768388",14
11/7/07,"2200 West 89th Street, Chicago, IL 60643, USA",41.731922,-87.677512,"-87.677512,41.731922",45
11/7/07,"2200 West Pershing Road, Chicago, IL 60609, USA",41.823065,-87.678378,"-87.678378,41.823065",2
11/7/07,"2500 West Grand Avenue, Chicago, IL 60654, USA",41.891118,-87.654491,"-87.654491,41.891118",14
11/7/07,"3000 South Hoyne Avenue, Chicago, IL 60608, USA",41.836644,-87.677737,"-87.677737,41.836644",1
11/7/07,"3000 West 18th Street, Chicago, IL 60608, USA",41.857402,-87.694991,"-87.694991,41.857402",25
11/7/07,"3500 West 116th Street, Chicago, IL 60655, USA",41.682587,-87.707973,"-87.707973,41.682587",245
11/7/07,"3500 West 51st Street, Chicago, IL 60632, USA",41.800737,-87.71188,"-87.71188,41.800737",2
11/7/07,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",41.944869,-87.832763,"-87.832763,41.944869",12
11/7/07,"3700 North Kedvale Avenue, Chicago, IL 60641, USA",41.948167,-87.730698,"-87.730698,41.948167",2
11/7/07,"3800 North California Avenue, Chicago, IL 60618, USA",41.94983,-87.698457,"-87.698457,41.94983",1
11/7/07,"3900 South Ashland Avenue, Chicago, IL 60609, USA",41.822536,-87.666343,"-87.666343,41.822536",11
11/7/07,"4000 North Austin Avenue, Chicago, IL 60634, USA",41.953067,-87.776792,"-87.776792,41.953067",2
11/7/07,"4000 North Tripp Avenue, Chicago, IL 60641, USA",41.953705,-87.733974,"-87.733974,41.953705",1
11/7/07,"4000 South Dearborn Street, Chicago, IL 60609, USA",41.821582,-87.627796,"-87.627796,41.821582",12
11/7/07,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41.95469,-87.800991,"-87.800991,41.95469",27
11/7/07,"4200 North Richmond Street, Chicago, IL 60618, USA",41.958271,-87.702575,"-87.702575,41.958271",16
11/7/07,"4200 West 127th Street, Alsip, IL 60803, USA",41.662014,-87.724608,"-87.724608,41.662014",23
11/7/07,"4200 West 31st Street, Chicago, IL 60623, USA",41.837085,-87.729384,"-87.729384,41.837085",2
11/7/07,"4600 Milwaukee Avenue, Chicago, IL 60630, USA",41.964242,-87.757639,"-87.757639,41.964242",2
11/7/07,"4700 South Cornell Avenue, Chicago, IL 60615, USA",41.799282,-87.585487,"-87.585487,41.799282",1
11/7/07,"4900 West Balmoral Avenue, Chicago, IL 60630, USA",41.979243,-87.750938,"-87.750938,41.979243",9
11/7/07,"4900 West Sunnyside Avenue, Chicago, IL 60630, USA",41.962728,-87.748367,"-87.748367,41.962728",1
11/7/07,"5000 South Central Avenue, Chicago, IL 60638, USA",41.801498,-87.763416,"-87.763416,41.801498",1
11/7/07,"5000 South Union Avenue, Chicago, IL 60609, USA",41.803423,-87.642984,"-87.642984,41.803423",9
11/7/07,"5200 South Kolmar Avenue, Chicago, IL 60632, USA",41.798697,-87.736812,"-87.736812,41.798697",6
11/7/07,"5200 South Nordica Avenue, Chicago, IL 60638, USA",41.797616,-87.797894,"-87.797894,41.797616",2
11/7/07,"5300 West Agatite Avenue, Chicago, IL 60630, USA",41.961743,-87.76007,"-87.76007,41.961743",1
11/7/07,"5500 South Doctor Martin Luther King Junior Drive, Chicago, IL 60637, USA",41.794781,-87.615989,"-87.615989,41.794781",18
11/7/07,"5800 North Western Avenue, Chicago, IL 60659, USA",41.986921,-87.689778,"-87.689778,41.986921",3
11/7/07,"6000 North Avondale Avenue, Chicago, IL 60631, USA",41.990284,-87.797127,"-87.797127,41.990284",3
11/7/07,"6100 South Melvina Avenue, Chicago, IL 60638, USA",41.781416,-87.776532,"-87.776532,41.781416",2
11/7/07,"6100 West Fullerton Avenue, Chicago, IL 60639, USA",41.923738,-87.785288,"-87.785288,41.923738",3
11/7/07,"6200 North Mandell Avenue, Chicago, IL 60646, USA",41.994991,-87.769279,"-87.769279,41.994991",3
11/7/07,"6300 West 64th Street, Chicago, IL 60638, USA",41.776156,-87.778927,"-87.778927,41.776156",1
